delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,key_resp.keys,key_resp.rt,sound_1.started,text.started,textbox.started,button.started,textbox.text,button.numClicks,button.timesOn,button.timesOff,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.4,400,unexp,0,10,10,1,104.03213389997836,105.02783279994037,105.02783279994037,105.0446703999769,space,0.7533917999826372,106.21104863991495,106.52966989995912,106.52966989995912,106.52966989995912,900,11,"[11.332918500062078, 4.793035199982114, 5.323812499991618, 2.82929309993051, 3.8839784000301734, 2.8683482999913394, 4.829928799998015, 2.4719504999229684, 3.073013399960473, 4.6050263999495655, 5.946802399936132]","[11.332937400089577, 4.793040700023994, 5.32382819999475, 2.8293041000142694, 3.8839853000827134, 2.8683558999327943, 4.829940699972212, 2.471966499928385, 3.073025399935432, 4.605038299923763, 5.946814600029029]",106.52966989995912,293447,001,2022-11-10_22h25.28.254,intentional binding_tutorial 7,2022.2.2,59.79219818524606,
0.7,1000,exp,0,11,11,5,112.45591539994348,113.46008170000277,113.46008170000277,113.46008170000277,space,0.8242119000060484,115.00966013998259,115.32071459991857,115.32071459991857,115.32071459991857,150,12,"[11.332918500062078, 4.793035199982114, 5.323812499991618, 2.82929309993051, 3.8839784000301734, 2.8683482999913394, 4.829928799998015, 2.4719504999229684, 3.073013399960473, 4.6050263999495655, 5.946802399936132, 5.1894545999821275]","[11.332937400089577, 4.793040700023994, 5.32382819999475, 2.8293041000142694, 3.8839853000827134, 2.8683558999327943, 4.829940699972212, 2.471966499928385, 3.073025399935432, 4.605038299923763, 5.946814600029029, 5.18946619995404]",,293447,001,2022-11-10_22h25.28.254,intentional binding_tutorial 7,2022.2.2,59.79219818524606,
0.4,400,unexp,1,0,12,1,120.49656060000416,121.4923633999424,121.4923633999424,121.5092579999473,space,0.7948497999459505,122.70866213990375,123.02105829992797,123.02105829992797,123.02105829992797,200,13,"[11.332918500062078, 4.793035199982114, 5.323812499991618, 2.82929309993051, 3.8839784000301734, 2.8683482999913394, 4.829928799998015, 2.4719504999229684, 3.073013399960473, 4.6050263999495655, 5.946802399936132, 5.1894545999821275, 3.1047875999938697]","[11.332937400089577, 4.793040700023994, 5.32382819999475, 2.8293041000142694, 3.8839853000827134, 2.8683558999327943, 4.829940699972212, 2.471966499928385, 3.073025399935432, 4.605038299923763, 5.946814600029029, 5.18946619995404, 3.1047991000814363]",123.02105829992797,293447,001,2022-11-10_22h25.28.254,intentional binding_tutorial 7,2022.2.2,59.79219818524606,
0.4,1000,exp,1,1,13,10,126.11128720000852,127.1082696999656,127.1082696999656,127.1250136999879,space,0.6247344999574125,128.15816943994724,128.46777489990927,128.46777489990927,128.46777489990927,600,14,"[11.332918500062078, 4.793035199982114, 5.323812499991618, 2.82929309993051, 3.8839784000301734, 2.8683482999913394, 4.829928799998015, 2.4719504999229684, 3.073013399960473, 4.6050263999495655, 5.946802399936132, 5.1894545999821275, 3.1047875999938697, 2.8646712000481784]","[11.332937400089577, 4.793040700023994, 5.32382819999475, 2.8293041000142694, 3.8839853000827134, 2.8683558999327943, 4.829940699972212, 2.471966499928385, 3.073025399935432, 4.605038299923763, 5.946814600029029, 5.18946619995404, 3.1047991000814363, 2.864683200023137]",,293447,001,2022-11-10_22h25.28.254,intentional binding_tutorial 7,2022.2.2,59.79219818524606,
0.4,1000,exp,1,2,14,4,131.31960779998917,132.3242391999811,132.3242391999811,132.3242391999811,space,1.726896999985911,134.47401673994028,134.78311089996714,134.78311089996714,134.78311089996714,200,15,"[11.332918500062078, 4.793035199982114, 5.323812499991618, 2.82929309993051, 3.8839784000301734, 2.8683482999913394, 4.829928799998015, 2.4719504999229684, 3.073013399960473, 4.6050263999495655, 5.946802399936132, 5.1894545999821275, 3.1047875999938697, 2.8646712000481784, 2.741741899983026]","[11.332937400089577, 4.793040700023994, 5.32382819999475, 2.8293041000142694, 3.8839853000827134, 2.8683558999327943, 4.829940699972212, 2.471966499928385, 3.073025399935432, 4.605038299923763, 5.946814600029029, 5.18946619995404, 3.1047991000814363, 2.864683200023137, 2.741750300046988]",134.78311089996714,293447,001,2022-11-10_22h25.28.254,intentional binding_tutorial 7,2022.2.2,59.79219818524606,
0.4,1000,exp,1,3,15,7,137.5123934999574,138.50691559992265,138.50691559992265,138.52332639996894,space,0.8206506000133231,139.7567717399914,140.0680977999,140.0680977999,140.0680977999,200,16,"[11.332918500062078, 4.793035199982114, 5.323812499991618, 2.82929309993051, 3.8839784000301734, 2.8683482999913394, 4.829928799998015, 2.4719504999229684, 3.073013399960473, 4.6050263999495655, 5.946802399936132, 5.1894545999821275, 3.1047875999938697, 2.8646712000481784, 2.741741899983026, 4.040168400038965]","[11.332937400089577, 4.793040700023994, 5.32382819999475, 2.8293041000142694, 3.8839853000827134, 2.8683558999327943, 4.829940699972212, 2.471966499928385, 3.073025399935432, 4.605038299923763, 5.946814600029029, 5.18946619995404, 3.1047991000814363, 2.864683200023137, 2.741750300046988, 4.040180400013924]",140.0680977999,293447,001,2022-11-10_22h25.28.254,intentional binding_tutorial 7,2022.2.2,59.79219818524606,
0.7,1000,exp,1,4,16,8,144.09408640000038,145.08923769998364,145.08923769998364,145.10605309996754,space,2.866433599963784,148.67201464001556,148.9812513999641,148.9812513999641,148.9812513999641,300,17,"[11.332918500062078, 4.793035199982114, 5.323812499991618, 2.82929309993051, 3.8839784000301734, 2.8683482999913394, 4.829928799998015, 2.4719504999229684, 3.073013399960473, 4.6050263999495655, 5.946802399936132, 5.1894545999821275, 3.1047875999938697, 2.8646712000481784, 2.741741899983026, 4.040168400038965, 4.697298899991438]","[11.332937400089577, 4.793040700023994, 5.32382819999475, 2.8293041000142694, 3.8839853000827134, 2.8683558999327943, 4.829940699972212, 2.471966499928385, 3.073025399935432, 4.605038299923763, 5.946814600029029, 5.18946619995404, 3.1047991000814363, 2.864683200023137, 2.741750300046988, 4.040180400013924, 4.697311699972488]",148.9812513999641,293447,001,2022-11-10_22h25.28.254,intentional binding_tutorial 7,2022.2.2,59.79219818524606,
0.1,400,unexp,1,5,17,0,153.66647219995502,154.6714666999178,154.6714666999178,154.6714666999178,space,2.8173477000091225,157.6212006399408,157.93042959994636,157.93042959994636,157.93042959994636,300,18,"[11.332918500062078, 4.793035199982114, 5.323812499991618, 2.82929309993051, 3.8839784000301734, 2.8683482999913394, 4.829928799998015, 2.4719504999229684, 3.073013399960473, 4.6050263999495655, 5.946802399936132, 5.1894545999821275, 3.1047875999938697, 2.8646712000481784, 2.741741899983026, 4.040168400038965, 4.697298899991438, 6.321393099962734]","[11.332937400089577, 4.793040700023994, 5.32382819999475, 2.8293041000142694, 3.8839853000827134, 2.8683558999327943, 4.829940699972212, 2.471966499928385, 3.073025399935432, 4.605038299923763, 5.946814600029029, 5.18946619995404, 3.1047991000814363, 2.864683200023137, 2.741750300046988, 4.040180400013924, 4.697311699972488, 6.321404800051823]",,293447,001,2022-11-10_22h25.28.254,intentional binding_tutorial 7,2022.2.2,59.79219818524606,
0.7,1000,exp,1,6,18,11,164.24104359990451,165.2367342999205,165.2367342999205,165.2533918999834,space,0.7344182999804616,166.7030125399586,167.01467740000226,167.01467740000226,167.01467740000226,250,19,"[11.332918500062078, 4.793035199982114, 5.323812499991618, 2.82929309993051, 3.8839784000301734, 2.8683482999913394, 4.829928799998015, 2.4719504999229684, 3.073013399960473, 4.6050263999495655, 5.946802399936132, 5.1894545999821275, 3.1047875999938697, 2.8646712000481784, 2.741741899983026, 4.040168400038965, 4.697298899991438, 6.321393099962734, 3.20761909999419]","[11.332937400089577, 4.793040700023994, 5.32382819999475, 2.8293041000142694, 3.8839853000827134, 2.8683558999327943, 4.829940699972212, 2.471966499928385, 3.073025399935432, 4.605038299923763, 5.946814600029029, 5.18946619995404, 3.1047991000814363, 2.864683200023137, 2.741750300046988, 4.040180400013924, 4.697311699972488, 6.321404800051823, 3.207630299963057]",167.01467740000226,293447,001,2022-11-10_22h25.28.254,intentional binding_tutorial 7,2022.2.2,59.79219818524606,
0.7,400,unexp,1,7,19,2,170.20937199995387,171.20270699996036,171.20270699996036,171.219179000007,space,2.332748999935575,174.25200633991045,174.56214359996375,174.56214359996375,174.56214359996375,100,20,"[11.332918500062078, 4.793035199982114, 5.323812499991618, 2.82929309993051, 3.8839784000301734, 2.8683482999913394, 4.829928799998015, 2.4719504999229684, 3.073013399960473, 4.6050263999495655, 5.946802399936132, 5.1894545999821275, 3.1047875999938697, 2.8646712000481784, 2.741741899983026, 4.040168400038965, 4.697298899991438, 6.321393099962734, 3.20761909999419, 3.6712367999134585]","[11.332937400089577, 4.793040700023994, 5.32382819999475, 2.8293041000142694, 3.8839853000827134, 2.8683558999327943, 4.829940699972212, 2.471966499928385, 3.073025399935432, 4.605038299923763, 5.946814600029029, 5.18946619995404, 3.1047991000814363, 2.864683200023137, 2.741750300046988, 4.040180400013924, 4.697311699972488, 6.321404800051823, 3.207630299963057, 3.671248300001025]",,293447,001,2022-11-10_22h25.28.254,intentional binding_tutorial 7,2022.2.2,59.79219818524606,
